system:index,B1,B2,B3,B4,B5,Latitude,Longitude,Pixel-Y,class,﻿Pixel-X,.geo
00000000000000000822,0.0197,0.0278,0.0408,0.0064,0.0028,49.69312859,-124.84722137451172,8724.5,spawn,9950.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000847,0.0197,0.0257,0.044,0.007,0.0028,49.69303889,-124.8472277,8725.5,spawn,9950.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000848,0.0197,0.0249,0.0396,0.0051,0.0028,49.69303392,-124.8470894,8725.5,spawn,9951.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ee,0.0278,0.0358,0.0491,0.0096,0.0029,49.74111423,-124.8806082,8204.5,spawn,9680.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ef,0.0278,0.036,0.0506,0.009,0.0029,49.7411093,-124.8804698,8204.5,spawn,9681.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000109,0.0278,0.0352,0.0499,0.0091,0.0029,49.74102452,-124.8806158,8205.5,spawn,9680.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000010a,0.0278,0.0354,0.0499,0.0093,0.0029,49.74101959,-124.8804774,8205.5,spawn,9681.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000067,0.023,0.0251,0.0394,0.0067,0.0036,49.74154209,-124.8825158,8200.5,spawn,9666.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000068,0.023,0.0278,0.0388,0.0075,0.0036,49.74153716,-124.8823774,8200.5,spawn,9667.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000083,0.023,0.0278,0.0402,0.0075,0.0036,49.74145238,-124.8825234,8201.5,spawn,9666.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000084,0.023,0.0291,0.0396,0.0078,0.0036,49.74144745,-124.88238525390625,8201.5,spawn,9667.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a4,0.0237,0.031,0.041,0.007,0.0036,49.74135281,-124.8822542,8202.5,spawn,9668.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a5,0.0237,0.0291,0.0429,0.0087,0.0036,49.74134788,-124.8821157,8202.5,spawn,9669.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c5,0.0237,0.027,0.0415,0.009,0.0036,49.7412631,-124.8822618,8203.5,spawn,9668.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c6,0.0237,0.0291,0.0415,0.0082,0.0036,49.74125817,-124.8821233,8203.5,spawn,9669.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ba,0.0196,0.0226,0.027,0.0089,0.0038,49.7413173,-124.8837845,8203.5,spawn,9657.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b,0.0252,0.0297,0.0446,0.007,0.004,49.74187137,-124.8816548,8196.5,spawn,9672.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c,0.0252,0.0314,0.0394,0.0071,0.004,49.74186644,-124.8815164,8196.5,spawn,9673.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002b,0.0252,0.032,0.0414,0.0081,0.004,49.74178165,-124.8816624,8197.5,spawn,9672.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002c,0.0252,0.0314,0.0413,0.0087,0.004,49.74177672,-124.881524,8197.5,spawn,9673.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000064,0.0214,0.029,0.0362,0.0078,0.004,49.74155688,-124.8829311,8200.5,spawn,9663.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007f,0.0214,0.0264,0.0336,0.007,0.004,49.74147209,-124.8830772,8201.5,spawn,9662.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000080,0.0214,0.0278,0.0343,0.0078,0.004,49.74146716,-124.8829387,8201.5,spawn,9663.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000148,0.0281,0.0348,0.0488,0.0087,0.004,49.74074552,-124.8803618,8208.5,spawn,9682.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000149,0.0281,0.0372,0.052,0.0108,0.004,49.74074059,-124.8802233,8208.5,spawn,9683.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000157,0.0281,0.0393,0.05,0.0098,0.004,49.74065581,-124.8803694,8209.5,spawn,9682.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000158,0.0281,0.0385,0.0516,0.0085,0.004,49.74065088,-124.880231,8209.5,spawn,9683.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000065,0.0222,0.0271,0.0376,0.0079,0.0041,49.74155195,-124.8827927,8200.5,spawn,9664.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000066,0.0222,0.027,0.0375,0.0077,0.0041,49.74154702,-124.8826543,8200.5,spawn,9665.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006f,0.0257,0.0301,0.0442,0.0083,0.0041,49.74150266,-124.8814084,8200.5,spawn,9674.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000070,0.0257,0.0358,0.0418,0.0091,0.0041,49.74149773,-124.8812699,8200.5,spawn,9675.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081,0.0222,0.0278,0.0368,0.0071,0.0041,49.74146224,-124.8828003,8201.5,spawn,9664.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000082,0.0222,0.0268,0.0351,0.0074,0.0041,49.74145731,-124.8826619,8201.5,spawn,9665.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008b,0.0257,0.028,0.0459,0.007,0.0041,49.74141295,-124.881416,8201.5,spawn,9674.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008c,0.0257,0.0326,0.0454,0.0086,0.0041,49.74140802,-124.8812775,8201.5,spawn,9675.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b0,0.0278,0.0368,0.0476,0.0086,0.0041,49.74129365,-124.880593,8202.5,spawn,9680.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b1,0.0278,0.0356,0.0494,0.0089,0.0041,49.74128872,-124.8804546,8202.5,spawn,9681.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d1,0.0278,0.0345,0.0479,0.0108,0.0041,49.74120394,-124.8806006,8203.5,spawn,9680.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d2,0.0278,0.0347,0.0487,0.0093,0.0041,49.74119901,-124.8804622,8203.5,spawn,9681.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000120,0.0276,0.0375,0.0499,0.0097,0.0041,49.7409348,-124.8806234,8206.5,spawn,9680.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000121,0.0276,0.0372,0.0492,0.0093,0.0041,49.74092987,-124.880485,8206.5,spawn,9681.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000135,0.0276,0.0382,0.0487,0.0094,0.0041,49.74084509,-124.880631,8207.5,spawn,9680.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000136,0.0276,0.0365,0.0502,0.0091,0.0041,49.74084016,-124.8804926,8207.5,spawn,9681.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000008b5,0.0237,0.0324,0.0486,0.0089,0.0041,49.69277969,-124.8475272,8728.5,spawn,9948.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a,0.0246,0.0274,0.0422,0.0083,0.0042,49.74187629,-124.8817932,8196.5,spawn,9671.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000029,0.0246,0.0301,0.0396,0.0082,0.0042,49.74179151,-124.8819393,8197.5,spawn,9670.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
